"","cases_19under","pop_19under","temp_mean","precip_mean","X_COORD","Y_COORD","tempxprecip","log_pop_19under"
"106",0,102,21.2532227037636,109.62164169593,1167578.51112963,1465735.0312187,2329.81316411577,4.62497281328427
"107",0,471,24.2862960270473,195.437305995396,1240152.81238985,1468801.77477642,4746.44826813282,6.15485809401642
"108",2,648,20.9052838219537,241.239317152235,1177462.58540654,1424923.8813395,5043.17639408177,6.47389069635227
"109",4,2719,21.7893422842026,119.623321533203,1184371.3528101,1482735.16077469,2606.51349806018,7.90801944463247
"110",0,1,21.3365237746874,206.129040724003,1240175.68173617,1511811.09136364,4398.07717806119,0
"111",1,507,19.1214603424072,132.439532470703,1154690.57566925,1461741.29961899,2532.4372679055,6.22851100359118
"112",1,7591,23.0759335595208,204.880828857422,1247756.10837054,1498226.98886543,4727.81639433342,8.93471861401677
"113",0,1916,22.1244302407289,127.911684672038,1186321.27138156,1507530.33165267,2829.97314450061,7.55799495853081
"114",0,2381,21.4706156594413,129.107750483922,1202708.20026171,1510426.72180307,2772.02288929532,7.77527584648686
"115",0,950,24.4932927351732,165.500895573543,1240791.73262389,1455501.67607148,4053.6618832161,6.85646198459459
"116",0,6,20.313244863308,196.850155715805,1225377.82828887,1487782.73471647,3998.66541443545,1.79175946922805
"117",0,1716,22.461487197876,185.924465942383,1204283.08881321,1454865.85207326,4176.14001153676,7.44775128004791
"118",0,1263,24.0320024490356,172.096988677979,1259546.67110237,1497731.5387845,4135.83525338084,7.14124512235049
"119",1,1251,22.3977840968541,204.14950125558,1235418.0083936,1487812.23766188,4572.49645260293,7.13169851046691
"120",0,425,21.5828566551208,179.124183654785,1133733.25427848,1406117.14537706,3866.01157928677,6.05208916892442
"121",0,245,22.1998570381827,190.715667322997,1203272.27442712,1439564.37709713,4233.86054951214,5.50125821054473
"122",0,1429,21.4819003740946,206.56245803833,1194377.88071168,1444514.76531638,4437.35414460751,7.26473017792987
"123",0,1867,21.7995309375581,140.062027159191,1091295.76982899,1434941.74216664,3053.2864942339,7.53208814354172
"124",2,227,21.1723721822103,235.386662801107,1185530.29583099,1424597.34031819,4983.69403155347,5.4249500174814
"125",1,538,23.3329792022705,171.363935470581,1230690.20605718,1443835.53944914,3998.43114235429,6.28785856016178
"126",1,32,21.043450491769,218.369216918945,1171873.16103863,1417131.91964993,4595.24180516019,3.46573590279973
"127",1,77,20.9151229858398,193.055221557617,1143907.18766076,1405357.31487484,4037.77370193612,4.34380542185368
"128",0,1680,20.8304927132346,178.419168645685,1241882.69100403,1519677.03672156,3716.55919237533,7.4265490723973
